Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI ;Valor GMM
2012;Benavente;Cursos Tecnológicos e Profissionais;12º ano;5.9;583;980.7
2012;Bombarral;Cursos gerais;10º ano;15.0;118;826.7
2012;Bombarral;Cursos gerais;11º ano;23.6;118;826.7
2012;Bombarral;Cursos gerais;12º ano;39.5;118;826.7
2012;Bombarral;Cursos Tecnológicos e Profissionais;10º ano;37.5;118;826.7
2012;Bombarral;Cursos Tecnológicos e Profissionais;11º ano;8.3;118;826.7
2012;Bombarral;Cursos Tecnológicos e Profissionais;12º ano;66.7;118;826.7
2012;Borba;Cursos gerais;10º ano;;178;916.3
2012;Borba;Cursos gerais;11º ano;;178;916.3
2012;Borba;Cursos gerais;12º ano;;178;916.3
2012;Borba;Cursos Tecnológicos e Profissionais;10º ano;;178;916.3
2012;Borba;Cursos Tecnológicos e Profissionais;11º ano;;178;916.3
2012;Borba;Cursos Tecnológicos e Profissionais;12º ano;;178;916.3
2012;Boticas;Cursos gerais;10º ano;;81;713.3
2012;Boticas;Cursos gerais;11º ano;;81;713.3
2012;Boticas;Cursos gerais;12º ano;;81;713.3
2012;Boticas;Cursos Tecnológicos e Profissionais;10º ano;;81;713.3
2012;Boticas;Cursos Tecnológicos e Profissionais;11º ano;0.0;81;713.3
2012;Boticas;Cursos Tecnológicos e Profissionais;12º ano;;81;713.3
2012;Braga;Cursos gerais;10º ano;17.3;2625;983.4
2012;Braga;Cursos gerais;11º ano;13.9;2625;983.4
2012;Braga;Cursos gerais;12º ano;31.3;2625;983.4
2012;Braga;Cursos Tecnológicos e Profissionais;10º ano;6.7;2625;983.4
2012;Braga;Cursos Tecnológicos e Profissionais;11º ano;5.8;2625;983.4
2012;Braga;Cursos Tecnológicos e Profissionais;12º ano;31.9;2625;983.4
2012;Bragança;Cursos gerais;10º ano;23.0;347;851.0
2012;Bragança;Cursos gerais;11º ano;17.8;347;851.0
2012;Bragança;Cursos gerais;12º ano;33.9;347;851.0
2012;Bragança;Cursos Tecnológicos e Profissionais;10º ano;9.0;347;851.0
2012;Bragança;Cursos Tecnológicos e Profissionais;11º ano;7.3;347;851.0
2012;Bragança;Cursos Tecnológicos e Profissionais;12º ano;40.8;347;851.0
2012;Cabeceiras de Basto;Cursos gerais;10º ano;20.7;489;729.8
2012;Cabeceiras de Basto;Cursos gerais;11º ano;20.0;489;729.8
2012;Cabeceiras de Basto;Cursos gerais;12º ano;49.1;489;729.8
2012;Cabeceiras de Basto;Cursos Tecnológicos e Profissionais;10º ano;4.5;489;729.8
2012;Cabeceiras de Basto;Cursos Tecnológicos e Profissionais;11º ano;6.1;489;729.8
2012;Cabeceiras de Basto;Cursos Tecnológicos e Profissionais;12º ano;10.8;489;729.8
2012;Cadaval;Cursos gerais;10º ano;20.7;75;836.1
2012;Cadaval;Cursos gerais;11º ano;7.9;75;836.1
2012;Cadaval;Cursos gerais;12º ano;47.8;75;836.1
2012;Cadaval;Cursos Tecnológicos e Profissionais;10º ano;16.7;75;836.1
2012;Cadaval;Cursos Tecnológicos e Profissionais;11º ano;0.0;75;836.1
2012;Cadaval;Cursos Tecnológicos e Profissionais;12º ano;0.0;75;836.1
2012;Caldas da Rainha;Cursos gerais;10º ano;13.2;407;901.4
2012;Caldas da Rainha;Cursos gerais;11º ano;18.0;407;901.4
2012;Caldas da Rainha;Cursos gerais;12º ano;32.2;407;901.4
2012;Caldas da Rainha;Cursos Tecnológicos e Profissionais;10º ano;9.9;407;901.4
2012;Caldas da Rainha;Cursos Tecnológicos e Profissionais;11º ano;9.3;407;901.4
