Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2012;Vila Real;0.303;0.0;0.132;0.0;0.634;0.787;0.935;0.398;947.5
2012;Vila Real de Santo António;0.551;0.157;0.348;0.0;0.902;1.0;0.58;0.256;853.5
2012;Vila Verde;0.439;0.272;0.125;0.0;1.0;0.446;0.184;0.181;803.6
2012;Vila Viçosa;0.481;0.188;0.07;0.0;1.0;0.0;0.167;0.428;967.5
2012;Vimioso;0.328;0.328;0.328;0.328;0.328;0.328;0.02;0.074;732.9
2012;Vinhais;1.0;0.334;0.028;0.334;1.0;0.334;0.123;0.145;779.7
2012;Viseu;0.129;0.084;0.188;0.003;0.746;1.0;1.0;0.35;915.6
2012;Vizela;0.282;0.028;0.0;0.0;0.617;0.47;0.184;0.059;722.9
2012;Vouzela;0.157;0.202;0.746;0.0;0.557;0.213;0.035;0.172;797.5
2013;Abrantes;0.157;0.202;0.585;0.024;1.0;0.697;0.635;0.478;1000.8
2013;Águeda;0.422;0.0;0.195;0.0;1.0;0.244;0.583;0.374;931.4
2013;Aguiar da Beira;0.296;0.0;0.0;0.0;1.0;0.725;0.034;0.03;703.5
2013;Alandroal;0.293;0.293;0.293;0.293;0.293;0.0;0.062;0.232;837.4
2013;Albergaria-a-Velha;0.23;0.0;0.0;0.0;0.836;1.0;0.383;0.401;949.4
2013;Albufeira;0.418;0.094;0.38;0.0;1.0;0.812;0.356;0.293;878.1
2013;Alcácer do Sal;0.338;0.425;0.15;0.296;1.0;0.0;0.18;0.327;900.5
2013;Alcanena;0.484;0.087;0.0;0.0;0.272;1.0;0.095;0.455;985.2
2013;Alcobaça;0.0;0.0;0.031;0.0;0.913;0.906;0.422;0.276;866.7
2013;Alcoutim;0.286;0.286;0.286;0.286;0.286;0.286;0.015;0.128;768.1
2013;Alfândega da Fé;0.523;0.286;0.303;0.286;1.0;0.0;0.029;0.102;751.1
2013;Alijó;0.139;0.195;0.052;0.0;0.993;0.0;0.179;0.305;885.5
2013;Aljezur;0.289;0.289;0.289;0.289;0.289;0.289;0.061;0.189;808.8
2013;Almeida;0.216;0.286;0.181;0.0;1.0;0.286;0.125;0.122;764.7
2013;Almeirim;0.017;0.0;0.523;0.0;1.0;0.923;0.418;0.311;889.8
2013;Almodôvar;0.436;0.0;0.265;0.087;0.174;0.0;0.062;0.174;799.1
2013;Alpiarça;0.0;0.0;0.16;0.0;1.0;0.296;0.104;0.323;897.4
2013;Alter do Chão;0.812;0.0;0.0;0.0;0.958;1.0;0.118;0.162;790.8
2013;Alvaiázere;0.523;0.0;0.589;0.289;0.697;0.289;0.066;0.165;793.2
2013;Alvito;0.303;0.0;0.303;0.0;0.303;0.78;0.049;0.433;970.5
2013;Amarante;0.01;0.0;0.0;0.0;0.791;0.251;1.0;0.245;845.7
2013;Amares;0.031;0.0;0.171;0.0;0.568;0.0;0.172;0.215;826.1
2013;Anadia;0.23;0.0;0.0;0.0;0.882;0.557;0.155;0.365;925.7
2013;Angra do Heroísmo;0.537;0.195;0.258;0.0;0.38;0.934;1.0;0.376;933.0
2013;Ansião;0.0;0.0;0.0;0.0;0.648;0.61;0.132;0.201;817.0
2013;Arcos de Valdevez;0.0;0.056;0.0;0.153;1.0;0.735;0.098;0.179;802.3
2013;Arganil;0.348;0.0;0.0;0.0;0.892;0.603;0.132;0.146;780.5
2013;Armamar;0.15;0.282;0.282;0.282;0.282;0.282;0.06;0.075;733.5
2013;Arouca;0.0;0.0;0.111;0.0;1.0;0.0;0.204;0.113;758.7
2013;Arraiolos;0.178;0.296;0.0;0.0;0.286;0.296;0.084;0.285;872.4
2013;Arronches;0.286;0.286;0.286;0.286;0.286;0.286;0.049;0.139;775.6
2013;Arruda dos Vinhos;0.0;0.474;0.0;0.303;0.777;1.0;0.093;0.411;956.4
2013;Avis;0.296;0.321;0.296;0.0;0.296;1.0;0.195;0.272;864.1
2013;Baião;0.334;0.0;0.035;0.0;0.979;1.0;0.741;0.042;711.6
2013;Barcelos;0.0;0.0;0.007;0.0;0.624;0.279;0.567;0.178;801.8
2013;Barrancos;0.286;0.286;0.286;0.286;0.286;0.286;0.034;0.104;752.8
2013;Batalha;0.289;0.0;0.0;0.0;0.272;1.0;0.032;0.326;899.5
2013;Beja;0.404;0.146;0.181;0.0;0.892;1.0;1.0;0.483;1004.1
2013;Belmonte;0.993;0.857;1.0;0.286;0.812;0.0;0.162;0.076;734.0
2013;Benavente;0.282;0.31;0.0;0.0;1.0;0.31;0.634;0.477;999.9
2013;Bombarral;0.387;0.0;0.275;0.0;1.0;1.0;0.085;0.215;826.4
2013;Borba;0.296;0.296;0.296;0.296;0.296;0.296;0.195;0.325;898.8
2013;Boticas;0.282;0.282;0.282;0.282;0.282;0.0;0.062;0.059;722.7
2013;Braga;0.209;0.0;0.028;0.0;1.0;0.7;1.0;0.446;979.6
2013;Bragança;0.192;0.0;0.108;0.0;0.997;0.728;0.352;0.312;890.6
2013;Cabeceiras de Basto;0.111;0.122;0.484;0.0;1.0;0.139;0.45;0.067;728.1
2013;Cadaval;0.523;0.293;0.0;0.0;0.812;0.087;0.062;0.25;849.2
2013;Caldas da Rainha;0.087;0.258;0.167;0.443;0.714;0.882;0.489;0.307;887.0
2013;Calheta [R.A.A.];0.348;0.3;0.038;0.3;1.0;0.3;0.068;0.376;933.0
2013;Câmara de Lobos;0.066;1.0;0.024;0.139;0.871;0.303;0.831;0.307;887.4
2013;Caminha;0.101;0.209;0.059;0.0;0.84;0.892;0.131;0.241;843.1
2013;Cantanhede;0.16;0.0;0.122;0.0;0.965;0.202;0.401;0.418;960.9
2013;Carrazeda de Ansiães;0.0;0.073;0.0;0.0;0.979;0.0;0.051;0.085;739.6
2013;Carregal do Sal;0.0;0.0;0.265;0.0;0.812;0.648;0.243;0.241;843.5
2013;Cartaxo;0.589;0.0;0.247;0.0;0.965;1.0;0.179;0.376;932.6
2013;Castanheira de Pêra;0.296;0.296;0.296;0.296;0.296;0.296;0.052;0.319;895.1
2013;Castelo Branco;0.223;0.0;0.132;0.0;0.711;0.819;1.0;0.303;884.5
2013;Castelo de Paiva;0.132;0.0;0.341;0.0;1.0;0.449;0.196;0.068;728.9
2013;Castelo de Vide;0.289;0.289;0.289;0.289;0.289;0.289;0.047;0.162;790.9
2013;Castro Daire;0.0;0.321;0.0;0.0;0.798;1.0;0.204;0.162;791.2
2013;Castro Marim;0.289;0.289;0.289;0.289;0.289;0.289;0.147;0.148;781.8
2013;Celorico da Beira;0.902;0.0;0.188;0.0;1.0;1.0;0.157;0.003;685.6
2013;Celorico de Basto;0.0;0.0;0.0;0.0;0.812;0.582;0.454;0.11;756.3
2013;Chamusca;0.373;0.293;0.15;0.293;1.0;0.293;0.106;0.257;853.8
2013;Chaves;0.129;0.028;0.042;0.0;1.0;0.341;0.612;0.232;837.1
2013;Cinfães;0.24;0.0;0.098;0.0;1.0;0.129;0.676;0.045;713.6
2013;Condeixa-a-Nova;0.484;0.0;0.15;0.0;0.178;0.397;0.188;0.317;893.9
2013;Coruche;0.0;0.0;0.0;0.0;1.0;0.066;0.299;0.409;954.5
2013;Corvo;0.3;0.3;0.3;0.3;0.3;0.3;0.155;0.376;933.0
2013;Covilhã;0.063;0.0;0.108;0.0;0.774;1.0;0.9;0.258;854.5
2013;Crato;0.286;0.0;0.286;0.017;0.286;0.882;0.063;0.101;750.7
2013;Cuba;0.293;0.052;0.293;0.0;0.293;0.0;0.131;0.258;854.9
2013;Elvas;0.397;0.589;0.192;0.0;0.892;0.122;1.0;0.219;828.5
2013;Espinho;0.206;0.0;0.021;0.0;0.787;0.725;0.897;0.306;886.5
2013;Esposende;0.08;0.0;0.0;0.0;0.655;0.0;0.099;0.209;822.1
2013;Estremoz;0.143;0.0;0.042;0.0;1.0;0.0;0.39;0.292;877.4
