Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2013;Alandroal;0.293;0.293;0.293;0.293;0.293;0.0;0.062;0.232;153.0
2013;Albergaria-a-Velha;0.23;0.0;0.0;0.0;0.836;1.0;0.383;0.401;153.0
2013;Albufeira;0.418;0.094;0.38;0.0;1.0;0.812;0.356;0.293;118.0
2013;Alcácer do Sal;0.338;0.425;0.15;0.296;1.0;0.0;0.18;0.327;118.0
2013;Alcanena;0.484;0.087;0.0;0.0;0.272;1.0;0.095;0.455;118.0
2013;Alcobaça;0.0;0.0;0.031;0.0;0.913;0.906;0.422;0.276;118.0
2013;Alcoutim;0.286;0.286;0.286;0.286;0.286;0.286;0.015;0.128;118.0
2013;Alfândega da Fé;0.523;0.286;0.303;0.286;1.0;0.0;0.029;0.102;118.0
2013;Alijó;0.139;0.195;0.052;0.0;0.993;0.0;0.179;0.305;178.0
2013;Aljezur;0.289;0.289;0.289;0.289;0.289;0.289;0.061;0.189;178.0
2013;Almeida;0.216;0.286;0.181;0.0;1.0;0.286;0.125;0.122;178.0
2013;Almeirim;0.017;0.0;0.523;0.0;1.0;0.923;0.418;0.311;178.0
2013;Almodôvar;0.436;0.0;0.265;0.087;0.174;0.0;0.062;0.174;178.0
2013;Alpiarça;0.0;0.0;0.16;0.0;1.0;0.296;0.104;0.323;178.0
2013;Alter do Chão;0.812;0.0;0.0;0.0;0.958;1.0;0.118;0.162;81.0
2013;Alvaiázere;0.523;0.0;0.589;0.289;0.697;0.289;0.066;0.165;81.0
2013;Alvito;0.303;0.0;0.303;0.0;0.303;0.78;0.049;0.433;81.0
2013;Amares;0.031;0.0;0.171;0.0;0.568;0.0;0.172;0.215;81.0
2013;Anadia;0.23;0.0;0.0;0.0;0.882;0.557;0.155;0.365;81.0
2013;Ansião;0.0;0.0;0.0;0.0;0.648;0.61;0.132;0.201;81.0
2013;Arcos de Valdevez;0.0;0.056;0.0;0.153;1.0;0.735;0.098;0.179;347.0
2013;Arganil;0.348;0.0;0.0;0.0;0.892;0.603;0.132;0.146;347.0
2013;Armamar;0.15;0.282;0.282;0.282;0.282;0.282;0.06;0.075;347.0
2013;Arouca;0.0;0.0;0.111;0.0;1.0;0.0;0.204;0.113;347.0
2013;Arraiolos;0.178;0.296;0.0;0.0;0.286;0.296;0.084;0.285;347.0
2013;Arronches;0.286;0.286;0.286;0.286;0.286;0.286;0.049;0.139;347.0
2013;Arruda dos Vinhos;0.0;0.474;0.0;0.303;0.777;1.0;0.093;0.411;75.0
2013;Avis;0.296;0.321;0.296;0.0;0.296;1.0;0.195;0.272;75.0
2013;Barrancos;0.286;0.286;0.286;0.286;0.286;0.286;0.034;0.104;75.0
2013;Batalha;0.289;0.0;0.0;0.0;0.272;1.0;0.032;0.326;75.0
2013;Belmonte;0.993;0.857;1.0;0.286;0.812;0.0;0.162;0.076;75.0
2013;Bombarral;0.387;0.0;0.275;0.0;1.0;1.0;0.085;0.215;75.0
2013;Borba;0.296;0.296;0.296;0.296;0.296;0.296;0.195;0.325;77.0
2013;Boticas;0.282;0.282;0.282;0.282;0.282;0.0;0.062;0.059;77.0
2013;Bragança;0.192;0.0;0.108;0.0;0.997;0.728;0.352;0.312;77.0
2013;Cabeceiras de Basto;0.111;0.122;0.484;0.0;1.0;0.139;0.45;0.067;77.0
2013;Cadaval;0.523;0.293;0.0;0.0;0.812;0.087;0.062;0.25;77.0
2013;Caldas da Rainha;0.087;0.258;0.167;0.443;0.714;0.882;0.489;0.307;77.0
2013;Calheta [R.A.A.];0.348;0.3;0.038;0.3;1.0;0.3;0.068;0.376;150.0
2013;Caminha;0.101;0.209;0.059;0.0;0.84;0.892;0.131;0.241;150.0
2013;Cantanhede;0.16;0.0;0.122;0.0;0.965;0.202;0.401;0.418;150.0
2013;Carrazeda de Ansiães;0.0;0.073;0.0;0.0;0.979;0.0;0.051;0.085;150.0
2013;Carregal do Sal;0.0;0.0;0.265;0.0;0.812;0.648;0.243;0.241;150.0
2013;Cartaxo;0.589;0.0;0.247;0.0;0.965;1.0;0.179;0.376;150.0
2013;Castanheira de Pêra;0.296;0.296;0.296;0.296;0.296;0.296;0.052;0.319;116.0
2013;Castelo de Paiva;0.132;0.0;0.341;0.0;1.0;0.449;0.196;0.068;116.0
2013;Castelo de Vide;0.289;0.289;0.289;0.289;0.289;0.289;0.047;0.162;116.0
