Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2017;Palmela;0.23;0.0;0.0;0.0;0.707;0.0;0.422;1.0;1346.7
2017;Ponta Delgada;0.453;0.328;0.0;0.0;0.139;0.481;1.0;0.714;1157.2
2017;Porto;0.038;0.0;0.0;0.0;0.199;0.38;1.0;0.985;1336.9
2017;Porto Santo;0.0;0.523;0.0;0.129;0.477;1.0;0.01;0.608;1087.0
2017;Ribeira de Pena;0.523;0.0;0.0;0.0;0.746;0.0;0.061;0.953;1315.3
2017;Santa Cruz;0.0;0.195;0.028;0.0;0.836;0.0;0.418;0.585;1071.7
2017;Santa Cruz das Flores;0.547;0.125;0.0;0.125;0.233;0.125;0.038;0.543;1043.7
2017;Santarém;0.324;0.0;0.014;0.0;0.54;0.293;0.759;0.514;1024.3
2017;São João da Madeira;0.0;0.0;0.0;0.0;0.209;0.328;0.179;0.506;1019.1
2017;Seixal;0.282;0.0;0.118;0.0;1.0;1.0;1.0;0.778;1199.3
2017;Setúbal;0.216;0.0;0.0;0.0;0.784;0.641;1.0;0.756;1185.1
2017;Sines;0.551;0.0;0.031;0.0;0.913;0.334;0.226;1.0;1346.7
2017;Sintra;0.47;0.0;0.139;0.0;0.976;1.0;1.0;0.75;1180.9
2017;Torres Novas;0.331;0.0;0.0;0.0;0.774;0.237;0.214;0.533;1037.3
2017;Trofa;0.0;0.0;0.0;0.0;0.216;0.0;0.385;0.502;1016.4
2017;Vale de Cambra;0.08;0.0;0.0;0.0;0.164;0.171;0.082;0.59;1075.1
2017;Viana do Castelo;0.122;0.0;0.0;0.0;0.209;0.084;0.677;0.523;1030.6
2017;Vila do Conde;0.181;0.0;0.0;0.0;0.934;0.551;0.615;0.548;1046.9
2017;Vila do Porto;0.16;0.321;0.174;0.0;0.958;0.0;0.155;1.0;1346.7
2017;Vila Franca de Xira;0.449;0.0;0.084;0.0;1.0;1.0;1.0;0.764;1190.4
2017;Vila Nova de Cerveira;0.46;0.0;0.0;0.0;0.362;0.0;0.019;0.542;1042.7
2017;Vila Nova de Famalicão;0.0;0.0;0.0;0.0;0.495;0.352;0.883;0.505;1018.2
2017;Vila Nova de Gaia;0.282;0.0;0.007;0.0;0.575;0.286;1.0;0.609;1087.2
2017;Vila Velha de Ródão;0.129;0.129;0.129;0.129;0.129;0.129;0.019;0.648;1113.0
2018;Abrantes;0.021;0.01;0.017;0.0;0.533;0.415;0.564;0.605;1084.8
2018;Águeda;0.275;0.0;0.0;0.0;0.456;0.129;0.349;0.525;1031.6
2018;Albergaria-a-Velha;0.164;0.0;0.042;0.0;0.794;0.0;0.209;0.598;1079.8
2018;Alcanena;0.0;0.0;0.0;0.0;0.523;0.0;0.032;0.572;1063.1
2018;Alcochete;0.101;0.0;0.0;0.0;0.69;0.833;0.18;1.0;1346.7
2018;Alenquer;0.453;0.0;0.171;0.0;0.847;0.564;0.337;0.676;1131.8
2018;Aljustrel;0.028;0.0;0.0;0.0;0.676;0.0;0.208;0.706;1152.0
2018;Almada;0.195;0.0;0.073;0.0;0.847;0.979;1.0;0.655;1117.6
2018;Alvito;0.077;0.0;0.077;0.0;0.077;0.174;0.043;0.503;1016.8
2018;Amadora;0.516;0.0;0.307;0.0;1.0;0.92;1.0;1.0;1346.7
2018;Arruda dos Vinhos;0.0;0.0;0.0;0.0;0.429;0.7;0.068;0.598;1080.2
2018;Aveiro;0.077;0.0;0.0;0.0;0.453;0.275;0.76;0.774;1196.5
2018;Azambuja;0.355;0.0;0.017;0.0;0.296;0.0;0.24;0.506;1018.9
2018;Barreiro;0.101;0.0;0.01;0.0;0.822;0.578;1.0;0.643;1110.2
2018;Beja;0.122;0.0;0.0;0.0;0.348;0.537;1.0;0.567;1059.6
